	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
Tigger12	0	876	3633	0.74	0.6	te_in_peak	1	n.s
MER51A	0	851	3633	0.72	0.6	te_in_peak	1	n.s
MER51-int	0	434	3633	0.54	0.6	peak_in_te	1	n.s
X26_DNA	0	957	3633	0.81	0.6	te_in_peak	1	n.s
MER54A	0	676	3633	0.57	0.6	te_in_peak	1	n.s
MER92B	0	796	3633	0.67	0.6	te_in_peak	1	n.s
X6b_DNA	0	959	3633	0.81	0.6	te_in_peak	1	n.s
MER52D	0	516	3633	0.69	0.6	peak_in_te	1	n.s
X9a_DNA	0	695	3633	0.59	0.6	te_in_peak	1	n.s
Tigger6a	0	674	3633	0.57	0.6	te_in_peak	1	n.s
SVA_C	0	486	3633	0.62	0.6	peak_in_te	1	n.s
SVA_B	0	801	3633	0.71	0.6	peak_in_te	1	n.s
MER74B	0	872	3633	0.74	0.6	te_in_peak	1	n.s
MSTA	8	15227	3633	12.89	0.6	te_in_peak	1	n.s
MER92-int	0	777	3633	0.66	0.6	te_in_peak	1	n.s
MLT1D-int	0	520	3633	0.54	0.6	peak_in_te	1	n.s
MER63C	0	890	3633	0.75	0.6	te_in_peak	1	n.s
MER65-int	0	839	3633	0.81	0.6	peak_in_te	1	n.s
MLT1J1	2	4361	3633	3.69	0.6	te_in_peak	1	n.s
MLT1I-int	0	728	3633	0.62	0.6	te_in_peak	1	n.s
MamGyp-int	0	634	3633	0.54	0.6	te_in_peak	1	n.s
MLT1H-int	0	731	3633	0.62	0.6	te_in_peak	1	n.s
MamGypLTR2b	0	884	3633	0.75	0.6	te_in_peak	1	n.s
MamGypLTR3	0	675	3633	0.57	0.6	te_in_peak	1	n.s
MamGypLTR4	0	710	3633	0.6	0.6	te_in_peak	1	n.s
X4b_DNA	0	699	3633	0.59	0.6	te_in_peak	1	n.s
MamGypsy2-LTR	0	904	3633	0.77	0.6	te_in_peak	1	n.s
MLT1E1A	1	2899	3633	2.45	0.6	te_in_peak	1	n.s
MLT1E1	0	903	3633	0.76	0.6	te_in_peak	1	n.s
MER6	0	812	3633	0.69	0.6	te_in_peak	1	n.s
MLT1D	8	17406	3633	14.74	0.6	te_in_peak	1	n.s
X7A_LINE	0	920	3633	0.78	0.6	te_in_peak	1	n.s
MLT1C2	7	15135	3633	12.82	0.6	te_in_peak	1	n.s
MER58C	1	2592	3633	2.19	0.6	te_in_peak	1	n.s
MamRep1894	0	686	3633	0.58	0.6	te_in_peak	1	n.s
X7B_LINE	0	934	3633	0.79	0.6	te_in_peak	1	n.s
MER58A	6	13479	3633	11.41	0.6	te_in_peak	1	n.s
MamTip1	0	756	3633	0.64	0.6	te_in_peak	1	n.s
MER66-int	0	541	3633	0.73	0.6	peak_in_te	1	n.s
MamTip3B	0	824	3633	0.7	0.6	te_in_peak	1	n.s
UCON105	0	638	3633	0.54	0.6	te_in_peak	1	n.s
MLT1A1-int	0	424	3633	0.62	0.6	peak_in_te	1	n.s
MLT1A1	3	6189	3633	5.24	0.6	te_in_peak	1	n.s
Tigger9b	0	754	3633	0.64	0.6	te_in_peak	1	n.s
MER90	0	697	3633	0.59	0.6	te_in_peak	1	n.s
Tigger8	0	938	3633	0.79	0.6	te_in_peak	1	n.s
X1_DNA	0	676	3633	0.57	0.6	te_in_peak	1	n.s
LTR7	0	683	3633	0.58	0.6	te_in_peak	1	n.s
L1P4a	0	601	3633	0.81	0.6	peak_in_te	1	n.s
Charlie21a	0	742	3633	0.63	0.6	te_in_peak	1	n.s
HERVS71-int	0	92	3633	0.56	0.6	peak_in_te	1	n.s
LTR48	0	891	3633	0.75	0.6	te_in_peak	1	n.s
HSMAR1	0	716	3633	0.61	0.6	te_in_peak	1	n.s
HUERS-P1-int	0	394	3633	0.7	0.6	peak_in_te	1	n.s
LTR52	0	882	3633	0.75	0.6	te_in_peak	1	n.s
LTR54B	0	734	3633	0.62	0.6	te_in_peak	1	n.s
LTR56	0	953	3633	0.81	0.6	te_in_peak	1	n.s
LTR5_Hs	0	566	3633	0.64	0.6	peak_in_te	1	n.s
HUERS-P3b-int	0	339	3633	0.63	0.6	peak_in_te	1	n.s
LTR78	2	4800	3633	4.06	0.6	te_in_peak	1	n.s
Kanga1	0	812	3633	0.69	0.6	te_in_peak	1	n.s
Kanga11a	0	883	3633	0.75	0.6	te_in_peak	1	n.s
LTR81A	0	852	3633	0.72	0.6	te_in_peak	1	n.s
MADE2	1	2664	3633	2.26	0.6	te_in_peak	1	n.s
Kanga1a	0	843	3633	0.71	0.6	te_in_peak	1	n.s
LTR81C	0	727	3633	0.62	0.6	te_in_peak	1	n.s
Kanga1c	0	826	3633	0.7	0.6	te_in_peak	1	n.s
LTR83	0	724	3633	0.61	0.6	te_in_peak	1	n.s
LTR84a	0	671	3633	0.57	0.6	te_in_peak	1	n.s
Charlie20a	0	869	3633	0.74	0.6	te_in_peak	1	n.s
L1P5	0	762	3633	0.65	0.6	te_in_peak	1	n.s
LTR88a	0	902	3633	0.76	0.6	te_in_peak	1	n.s
LTR89B	0	731	3633	0.62	0.6	te_in_peak	1	n.s
LTR9	0	651	3633	0.55	0.6	te_in_peak	1	n.s
Charlie1b	1	3033	3633	2.57	0.6	te_in_peak	1	n.s
L1M	0	748	3633	0.63	0.6	te_in_peak	1	n.s
LTR41C	0	757	3633	0.64	0.6	te_in_peak	1	n.s
LTR41B	0	845	3633	0.72	0.6	te_in_peak	1	n.s
HERVL18-int	0	174	3633	0.58	0.6	peak_in_te	1	n.s
HERVK3-int	0	196	3633	0.56	0.6	peak_in_te	1	n.s
L5	0	737	3633	0.62	0.6	te_in_peak	1	n.s
Eutr15	0	657	3633	0.56	0.6	te_in_peak	1	n.s
LOR1b	0	950	3633	0.8	0.6	te_in_peak	1	n.s
LTR103_Mam	0	746	3633	0.63	0.6	te_in_peak	1	n.s
L2-1_AMi	0	951	3633	0.81	0.6	te_in_peak	1	n.s
LTR105_Mam	0	666	3633	0.56	0.6	te_in_peak	1	n.s
LTR106_Mam	0	638	3633	0.54	0.6	te_in_peak	1	n.s
ERVL-int	0	713	3633	0.69	0.6	peak_in_te	1	n.s
HERV3-int	0	188	3633	0.6	0.6	peak_in_te	1	n.s
LTR16A1	1	2540	3633	2.15	0.6	te_in_peak	1	n.s
L1PBa1	0	441	3633	0.8	0.6	peak_in_te	1	n.s
HERV9N-int	0	183	3633	0.64	0.6	peak_in_te	1	n.s
LTR16E1	1	2465	3633	2.09	0.6	te_in_peak	1	n.s
LTR1A2	0	711	3633	0.6	0.6	te_in_peak	1	n.s
LTR23	0	802	3633	0.68	0.6	te_in_peak	1	n.s
LTR25-int	0	453	3633	0.8	0.6	peak_in_te	1	n.s
LTR29	0	660	3633	0.56	0.6	te_in_peak	1	n.s
HERVE-int	0	193	3633	0.7	0.6	peak_in_te	1	n.s
ERV3-16A3_LTR	0	898	3633	0.76	0.6	te_in_peak	1	n.s
HERVIP10F-int	0	203	3633	0.65	0.6	peak_in_te	1	n.s
Charlie31a	0	803	3633	0.68	0.6	te_in_peak	1	n.s
LTR33C	0	905	3633	0.77	0.6	te_in_peak	1	n.s
HERVIP10FH-int	0	320	3633	0.58	0.6	peak_in_te	1	n.s
HERVK-int	0	173	3633	0.8	0.6	peak_in_te	1	n.s
HERVK11-int	0	134	3633	0.65	0.6	peak_in_te	1	n.s
LTR9D	0	676	3633	0.57	0.6	te_in_peak	1	n.s
HAL1ME	3	7407	3633	6.27	0.6	te_in_peak	1	n.s
L1M3e	0	810	3633	0.69	0.6	te_in_peak	1	n.s
AluSq2	28	51711	3633	43.79	0.6	te_in_peak	1	n.s
MER135	0	818	3633	0.69	0.6	te_in_peak	1	n.s
L1ME3F	2	4605	3633	3.9	0.6	te_in_peak	1	n.s
L1M3f	0	671	3633	0.7	0.6	peak_in_te	1	n.s
AluYj4	1	2787	3633	2.36	0.6	te_in_peak	1	n.s
AluYh3	0	649	3633	0.55	0.6	te_in_peak	1	n.s
MER44D	0	638	3633	0.54	0.6	te_in_peak	1	n.s
AluYg6	0	811	3633	0.69	0.6	te_in_peak	1	n.s
MER41C	0	706	3633	0.6	0.6	te_in_peak	1	n.s
L1ME4a	14	29291	3633	24.8	0.6	te_in_peak	1	n.s
MER124	0	747	3633	0.63	0.6	te_in_peak	1	n.s
MER41B	1	2573	3633	2.18	0.6	te_in_peak	1	n.s
AluSx1	50	106483	3633	90.17	0.6	te_in_peak	1	n.s
L1M6B	0	730	3633	0.62	0.6	te_in_peak	1	n.s
AluSz6	19	40962	3633	34.69	0.6	te_in_peak	1	n.s
AluSz	59	118033	3633	99.95	0.6	te_in_peak	1	n.s
MER31-int	0	906	3633	0.77	0.6	te_in_peak	1	n.s
AluSx3	18	38631	3633	32.71	0.6	te_in_peak	1	n.s
MER39	1	3096	3633	2.62	0.6	te_in_peak	1	n.s
MER34A1	0	761	3633	0.64	0.6	te_in_peak	1	n.s
L1MA10	2	5109	3633	4.33	0.6	te_in_peak	1	n.s
MER115	1	2520	3633	2.13	0.6	te_in_peak	1	n.s
MER110	0	714	3633	0.6	0.6	te_in_peak	1	n.s
AluJr4	6	12307	3633	10.42	0.6	te_in_peak	1	n.s
AluSp	30	64572	3633	54.68	0.6	te_in_peak	1	n.s
MER4A	0	816	3633	0.69	0.6	te_in_peak	1	n.s
L1MEg2	0	755	3633	0.64	0.6	te_in_peak	1	n.s
L1M3a	0	636	3633	0.54	0.6	te_in_peak	1	n.s
MER11B	0	481	3633	0.59	0.6	peak_in_te	1	n.s
MER47C	0	762	3633	0.65	0.6	te_in_peak	1	n.s
L1M2a	0	489	3633	0.56	0.6	peak_in_te	1	n.s
MER121	0	927	3633	0.78	0.6	te_in_peak	1	n.s
MER105	0	714	3633	0.6	0.6	te_in_peak	1	n.s
L1ME3C	1	3264	3633	2.76	0.5	te_in_peak	1	n.s
Ricksha_c	0	982	3633	0.83	0.5	te_in_peak	1	n.s
L1MDb	0	971	3633	0.82	0.5	te_in_peak	1	n.s
MLT1B	7	16600	3633	14.06	0.5	te_in_peak	1	n.s
MamGypLTR1b	0	1209	3633	1.02	0.5	te_in_peak	1	n.s
L1MD3	2	5356	3633	4.54	0.5	te_in_peak	1	n.s
Plat_L3	1	3315	3633	2.81	0.5	te_in_peak	1	n.s
Penelope1_Vert	0	1097	3633	0.93	0.5	te_in_peak	1	n.s
MamRep1151	0	1257	3633	1.06	0.5	te_in_peak	1	n.s
MamSINE1	2	5836	3633	4.94	0.5	te_in_peak	1	n.s
MamRep1527	0	1265	3633	1.07	0.5	te_in_peak	1	n.s
HERV9NC-int	0	199	3633	1.12	0.5	peak_in_te	1	n.s
MLT1C	2	6141	3633	5.2	0.5	te_in_peak	1	n.s
MSTD-int	0	687	3633	1.0	0.5	peak_in_te	1	n.s
Tigger20a	0	1356	3633	1.15	0.5	te_in_peak	1	n.s
Tigger9a	0	1026	3633	0.87	0.5	te_in_peak	1	n.s
HERVK22-int	0	296	3633	0.85	0.5	peak_in_te	1	n.s
L1M3c	0	1070	3633	0.91	0.5	te_in_peak	1	n.s
MLT1L	4	11150	3633	9.44	0.5	te_in_peak	1	n.s
MLT1N2	2	5493	3633	4.65	0.5	te_in_peak	1	n.s
Tigger3	0	1147	3633	0.97	0.5	te_in_peak	1	n.s
MLT1J2	2	6138	3633	5.2	0.5	te_in_peak	1	n.s
L1P4	1	3775	3633	3.2	0.5	te_in_peak	1	n.s
MLT1A0-int	0	839	3633	1.0	0.5	peak_in_te	1	n.s
MLT1J-int	0	1267	3633	1.07	0.5	te_in_peak	1	n.s
MLT1J	5	14249	3633	12.07	0.5	te_in_peak	1	n.s
MLT1I	4	10098	3633	8.55	0.5	te_in_peak	1	n.s
L1MEg1	0	1013	3633	0.86	0.5	te_in_peak	1	n.s
Tigger18a	0	1259	3633	1.07	0.5	te_in_peak	1	n.s
MLT1H1	1	3143	3633	2.66	0.5	te_in_peak	1	n.s
MLT1H	3	9039	3633	7.65	0.5	te_in_peak	1	n.s
MER4E1	0	1034	3633	0.88	0.5	te_in_peak	1	n.s
Harlequin-int	0	286	3633	1.18	0.5	peak_in_te	1	n.s
MLT1G1	1	3176	3633	2.69	0.5	te_in_peak	1	n.s
Tigger16b	0	1329	3633	1.13	0.5	te_in_peak	1	n.s
Tigger14a	0	1293	3633	1.09	0.5	te_in_peak	1	n.s
MLT2C2	0	1303	3633	1.1	0.5	te_in_peak	1	n.s
HUERS-P3-int	0	445	3633	0.92	0.5	peak_in_te	1	n.s
MLT2D	1	3767	3633	3.19	0.5	te_in_peak	1	n.s
Tigger13a	1	3113	3633	2.64	0.5	te_in_peak	1	n.s
Tigger22N1	0	1102	3633	0.93	0.5	te_in_peak	1	n.s
L1M6	2	5357	3633	4.54	0.5	te_in_peak	1	n.s
MLT1F	1	3885	3633	3.29	0.5	te_in_peak	1	n.s
HERVL40-int	0	988	3633	0.84	0.5	te_in_peak	1	n.s
Alu	3	7748	3633	6.56	0.5	te_in_peak	1	n.s
Cheshire	0	1020	3633	0.86	0.5	te_in_peak	1	n.s
MER68	0	1386	3633	1.17	0.5	te_in_peak	1	n.s
X6A_LINE	0	1033	3633	0.87	0.5	te_in_peak	1	n.s
AluYk2	2	6622	3633	5.61	0.5	te_in_peak	1	n.s
MER131	0	1106	3633	0.94	0.5	te_in_peak	1	n.s
AluYk4	0	1095	3633	0.93	0.5	te_in_peak	1	n.s
MER11C	0	803	3633	1.03	0.5	peak_in_te	1	n.s
Arthur2	0	989	3633	0.84	0.5	te_in_peak	1	n.s
MER65A	0	1134	3633	0.96	0.5	te_in_peak	1	n.s
MER11A	0	878	3633	1.08	0.5	peak_in_te	1	n.s
MER101-int	0	970	3633	0.82	0.5	te_in_peak	1	n.s
CR1-3_Croc	0	1338	3633	1.13	0.5	te_in_peak	1	n.s
Charlie17a	0	1214	3633	1.03	0.5	te_in_peak	1	n.s
MER67D	0	1009	3633	0.85	0.5	te_in_peak	1	n.s
MER6A	0	1009	3633	0.85	0.5	te_in_peak	1	n.s
LTR8A	0	1372	3633	1.16	0.5	te_in_peak	1	n.s
LTR89	0	1093	3633	0.93	0.5	te_in_peak	1	n.s
LTR88c	0	1038	3633	0.88	0.5	te_in_peak	1	n.s
MER20	7	16757	3633	14.19	0.5	te_in_peak	1	n.s
MER5C	0	1336	3633	1.13	0.5	te_in_peak	1	n.s
LTR85b	0	1176	3633	1.0	0.5	te_in_peak	1	n.s
MER21-int	0	951	3633	0.83	0.5	peak_in_te	1	n.s
MER4D1	0	1441	3633	1.22	0.5	te_in_peak	1	n.s
MER4D	0	1264	3633	1.07	0.5	te_in_peak	1	n.s
MER4B-int	0	1147	3633	1.07	0.5	peak_in_te	1	n.s
AluSg4	4	11821	3633	10.01	0.5	te_in_peak	1	n.s
MER49	0	1195	3633	1.01	0.5	te_in_peak	1	n.s
MER52-int	0	359	3633	0.83	0.5	peak_in_te	1	n.s
MER45C	0	1197	3633	1.01	0.5	te_in_peak	1	n.s
MER44C	0	1091	3633	0.92	0.5	te_in_peak	1	n.s
AluSx	51	124945	3633	105.8	0.5	te_in_peak	1	n.s
MER57B2	0	972	3633	0.82	0.5	te_in_peak	1	n.s
MER39B	0	1164	3633	0.99	0.5	te_in_peak	1	n.s
MER34	0	1222	3633	1.03	0.5	te_in_peak	1	n.s
MER31B	0	1389	3633	1.18	0.5	te_in_peak	1	n.s
AluYa5	1	3782	3633	3.2	0.5	te_in_peak	1	n.s
AluYe5	0	1297	3633	1.1	0.5	te_in_peak	1	n.s
LTR85c	0	1149	3633	0.97	0.5	te_in_peak	1	n.s
MamGypLTR2c	0	1035	3633	0.88	0.5	te_in_peak	1	n.s
MER91B	0	1442	3633	1.22	0.5	te_in_peak	1	n.s
LTR54	0	1096	3633	0.93	0.5	te_in_peak	1	n.s
LTR33	3	9223	3633	7.81	0.5	te_in_peak	1	n.s
LTR39	0	1198	3633	1.01	0.5	te_in_peak	1	n.s
Charlie29b	0	1420	3633	1.2	0.5	te_in_peak	1	n.s
LTR40b	0	993	3633	0.84	0.5	te_in_peak	1	n.s
LTR16D	0	1110	3633	0.94	0.5	te_in_peak	1	n.s
LTR16B2	0	1337	3633	1.13	0.5	te_in_peak	1	n.s
LTR41	0	1124	3633	0.95	0.5	te_in_peak	1	n.s
MER90a	0	1247	3633	1.06	0.5	te_in_peak	1	n.s
MER89	0	1174	3633	0.99	0.5	te_in_peak	1	n.s
LTR49	0	1217	3633	1.03	0.5	te_in_peak	1	n.s
LTR16B1	0	1038	3633	0.88	0.5	te_in_peak	1	n.s
MamGypLTR3a	0	1322	3633	1.12	0.5	te_in_peak	1	n.s
Charlie29a	0	978	3633	0.83	0.5	te_in_peak	1	n.s
X17_LINE	0	966	3633	0.82	0.5	te_in_peak	1	n.s
LTR67B	1	3420	3633	2.9	0.5	te_in_peak	1	n.s
Eutr10	0	997	3633	0.84	0.5	te_in_peak	1	n.s
LTR82B	0	1152	3633	0.98	0.5	te_in_peak	1	n.s
LTR82A	0	1036	3633	0.88	0.5	te_in_peak	1	n.s
LTR81B	0	1154	3633	0.98	0.5	te_in_peak	1	n.s
Charlie24	0	1286	3633	1.09	0.5	te_in_peak	1	n.s
LTR16A	1	3590	3633	3.04	0.5	te_in_peak	1	n.s
LOR1-int	0	978	3633	1.05	0.5	peak_in_te	1	n.s
MER77	0	1268	3633	1.07	0.5	te_in_peak	1	n.s
MER77B	0	1224	3633	1.04	0.5	te_in_peak	1	n.s
EuthAT-2	0	1150	3633	0.97	0.5	te_in_peak	1	n.s
Charlie25	0	1076	3633	0.91	0.5	te_in_peak	1	n.s
AluJb	54	117273	3633	99.31	0.5	te_in_peak	1	n.s
LTR37-int	0	1171	3633	0.99	0.5	te_in_peak	1	n.s
AluSq	3	12256	3633	10.38	0.4	te_in_peak	1	n.s
HERV9-int	0	266	3633	1.29	0.4	peak_in_te	1	n.s
MamRep434	0	2112	3633	1.79	0.4	te_in_peak	1	n.s
L1ME2z	2	7272	3633	6.16	0.4	te_in_peak	1	n.s
L1MCb	0	2145	3633	1.82	0.4	te_in_peak	1	n.s
AluSq4	0	1638	3633	1.39	0.4	te_in_peak	1	n.s
Tigger3a	1	5323	3633	4.51	0.4	te_in_peak	1	n.s
Charlie2a	0	2080	3633	1.76	0.4	te_in_peak	1	n.s
L1M8	0	1662	3633	1.41	0.4	te_in_peak	1	n.s
THE1A	0	1919	3633	1.63	0.4	te_in_peak	1	n.s
AluYf1	0	1999	3633	1.69	0.4	te_in_peak	1	n.s
HERVK9-int	0	295	3633	1.52	0.4	peak_in_te	1	n.s
Kanga2_a	0	1534	3633	1.3	0.4	te_in_peak	1	n.s
L1M4a2	0	2051	3633	1.74	0.4	te_in_peak	1	n.s
Tigger16a	0	1789	3633	1.51	0.4	te_in_peak	1	n.s
HSMAR2	0	1770	3633	1.5	0.4	te_in_peak	1	n.s
BLACKJACK	0	2129	3633	1.8	0.4	te_in_peak	1	n.s
Charlie15b	0	1888	3633	1.6	0.4	te_in_peak	1	n.s
Tigger2b_Pri	0	2104	3633	1.78	0.4	te_in_peak	1	n.s
HERV17-int	0	415	3633	1.32	0.4	peak_in_te	1	n.s
Charlie19a	0	1605	3633	1.36	0.4	te_in_peak	1	n.s
HERV16-int	0	1623	3633	1.37	0.4	te_in_peak	1	n.s
MER50	0	2098	3633	1.78	0.4	te_in_peak	1	n.s
LTR91	0	1563	3633	1.32	0.4	te_in_peak	1	n.s
MER21C	1	5012	3633	4.24	0.4	te_in_peak	1	n.s
MER61-int	0	805	3633	1.59	0.4	peak_in_te	1	n.s
MER1B	1	5366	3633	4.54	0.4	te_in_peak	1	n.s
MLT1E3	0	1881	3633	1.59	0.4	te_in_peak	1	n.s
MER63D	0	1718	3633	1.45	0.4	te_in_peak	1	n.s
L1PB	0	1846	3633	1.56	0.4	te_in_peak	1	n.s
MER67C	0	1637	3633	1.39	0.4	te_in_peak	1	n.s
L4_C_Mam	1	5015	3633	4.25	0.4	te_in_peak	1	n.s
MLT2B2	0	1843	3633	1.56	0.4	te_in_peak	1	n.s
LTR85a	0	1868	3633	1.58	0.4	te_in_peak	1	n.s
MSTB-int	0	822	3633	1.54	0.4	peak_in_te	1	n.s
LTR104_Mam	0	1959	3633	1.66	0.4	te_in_peak	1	n.s
MER8	0	1941	3633	1.64	0.4	te_in_peak	1	n.s
LTR49-int	0	1791	3633	1.52	0.4	te_in_peak	1	n.s
LTR40a	0	1776	3633	1.5	0.4	te_in_peak	1	n.s
LTR37B	0	1822	3633	1.54	0.4	te_in_peak	1	n.s
LTR33B	0	1585	3633	1.34	0.4	te_in_peak	1	n.s
LTR33A	0	2028	3633	1.72	0.4	te_in_peak	1	n.s
LTR33A_	0	1659	3633	1.4	0.4	te_in_peak	1	n.s
MER21A	0	1576	3633	1.33	0.4	te_in_peak	1	n.s
MER2B	0	1710	3633	1.45	0.4	te_in_peak	1	n.s
MER41-int	0	1210	3633	1.8	0.4	peak_in_te	1	n.s
L1ME3B	2	8120	3633	6.88	0.4	te_in_peak	1	n.s
MER4B	0	1618	3633	1.37	0.4	te_in_peak	1	n.s
MLT2A1	0	2101	3633	1.78	0.4	te_in_peak	1	n.s
MER4A1	0	1698	3633	1.44	0.4	te_in_peak	1	n.s
L1ME3E	1	4540	3633	3.84	0.4	te_in_peak	1	n.s
MER57A-int	0	1598	3633	1.35	0.4	te_in_peak	1	n.s
MER57-int	0	937	3633	1.37	0.4	peak_in_te	1	n.s
L1ME4b	7	24590	3633	20.82	0.4	te_in_peak	1	n.s
MER30	1	4132	3633	3.5	0.4	te_in_peak	1	n.s
MSTB2	0	1456	3633	1.23	0.4	te_in_peak	1	n.s
MLT1F2	1	5570	3633	4.72	0.3	te_in_peak	1	n.s
Tigger7	0	2944	3633	2.49	0.3	te_in_peak	1	n.s
L1MEh	0	3050	3633	2.58	0.3	te_in_peak	1	n.s
Tigger2	0	2729	3633	2.31	0.3	te_in_peak	1	n.s
LTR16	0	2446	3633	2.07	0.3	te_in_peak	1	n.s
L1PA15-16	0	1431	3633	1.88	0.3	peak_in_te	1	n.s
L1ME3	2	9162	3633	7.76	0.3	te_in_peak	1	n.s
Tigger3c	0	2327	3633	1.97	0.3	te_in_peak	1	n.s
MLT1A0	4	19502	3633	16.51	0.3	te_in_peak	1	n.s
Tigger2a	0	3318	3633	2.81	0.3	te_in_peak	1	n.s
L1P2	0	1631	3633	2.88	0.3	peak_in_te	1	n.s
MLT1G	0	2532	3633	2.14	0.3	te_in_peak	1	n.s
MLT1F1	0	2935	3633	2.49	0.3	te_in_peak	1	n.s
L1PB4	1	7440	3633	6.3	0.3	te_in_peak	1	n.s
L1PB2	0	2887	3633	2.94	0.3	peak_in_te	1	n.s
L1MEj	0	2345	3633	1.99	0.3	te_in_peak	1	n.s
L1ME3A	3	15879	3633	13.45	0.3	te_in_peak	1	n.s
Charlie5	0	2568	3633	2.17	0.3	te_in_peak	1	n.s
AluYb8	0	2645	3633	2.24	0.3	te_in_peak	1	n.s
AluSc	9	37679	3633	31.91	0.3	te_in_peak	1	n.s
AluSc8	5	20437	3633	17.31	0.3	te_in_peak	1	n.s
AluSg	11	42580	3633	36.06	0.3	te_in_peak	1	n.s
AluSg7	1	5829	3633	4.94	0.3	te_in_peak	1	n.s
MER52A	0	1279	3633	2.04	0.3	peak_in_te	1	n.s
MER47A	0	2589	3633	2.19	0.3	te_in_peak	1	n.s
MER41A	0	2232	3633	1.89	0.3	te_in_peak	1	n.s
MER4-int	0	2062	3633	2.5	0.3	peak_in_te	1	n.s
AluSx4	2	11827	3633	10.02	0.3	te_in_peak	1	n.s
MER21B	0	2531	3633	2.14	0.3	te_in_peak	1	n.s
LTR50	0	2556	3633	2.16	0.3	te_in_peak	1	n.s
MER1A	0	3227	3633	2.73	0.3	te_in_peak	1	n.s
MER63A	0	3511	3633	2.97	0.3	te_in_peak	1	n.s
AmnSINE1	0	2614	3633	2.21	0.3	te_in_peak	1	n.s
MER104	0	2206	3633	1.87	0.3	te_in_peak	1	n.s
MARNA	0	3156	3633	2.67	0.3	te_in_peak	1	n.s
MADE1	1	7843	3633	6.64	0.3	te_in_peak	1	n.s
LTR91A	0	2393	3633	2.03	0.3	te_in_peak	1	n.s
LTR8	0	3101	3633	2.63	0.3	te_in_peak	1	n.s
LTR78B	0	3252	3633	2.75	0.3	te_in_peak	1	n.s
MLT2A2	0	3119	3633	2.64	0.3	te_in_peak	1	n.s
L1PA12	0	1769	3633	1.9	0.3	peak_in_te	1	n.s
L1MB8	4	16563	3633	14.03	0.3	te_in_peak	1	n.s
MLT2C1	0	2232	3633	1.89	0.3	te_in_peak	1	n.s
L1MC4	5	23685	3633	20.06	0.3	te_in_peak	1	n.s
SVA_D	0	1433	3633	2.27	0.3	peak_in_te	1	n.s
L1ME5	0	3442	3633	2.91	0.3	te_in_peak	1	n.s
L1MC1	3	13002	3633	11.01	0.3	te_in_peak	1	n.s
L1MCa	1	7243	3633	6.13	0.3	te_in_peak	1	n.s
L1MC	1	7862	3633	6.66	0.3	te_in_peak	1	n.s
MamRep605b	0	2373	3633	2.01	0.3	te_in_peak	1	n.s
L1MCc	0	3179	3633	2.69	0.3	te_in_peak	1	n.s
MSTC	0	2873	3633	2.43	0.3	te_in_peak	1	n.s
THE1C	1	7129	3633	6.04	0.3	te_in_peak	1	n.s
L1MD1	1	6979	3633	5.91	0.3	te_in_peak	1	n.s
L1MD2	2	10982	3633	9.3	0.3	te_in_peak	1	n.s
L1MEg	3	13185	3633	11.17	0.3	te_in_peak	1	n.s
MSTD	1	6701	3633	5.67	0.3	te_in_peak	1	n.s
L1M7	0	3059	3633	2.59	0.3	te_in_peak	1	n.s
L1MA5A	0	3431	3633	2.91	0.3	te_in_peak	1	n.s
MLT2B3	0	2685	3633	2.27	0.3	te_in_peak	1	n.s
L1M4a1	0	2655	3633	2.25	0.3	te_in_peak	1	n.s
L1MA4	1	10000	3633	8.47	0.2	te_in_peak	1	n.s
L1MA5	0	4447	3633	3.77	0.2	te_in_peak	1	n.s
L1MA6	0	5458	3633	4.62	0.2	te_in_peak	1	n.s
LTR12C	0	2539	3633	4.43	0.2	peak_in_te	1	n.s
ERVL-B4-int	0	3211	3633	3.6	0.2	peak_in_te	1	n.s
Charlie2b	0	3650	3633	3.09	0.2	te_in_peak	1	n.s
ERV3-16A3_I-int	0	5053	3633	5.49	0.2	peak_in_te	1	n.s
L1MA1	0	4314	3633	5.32	0.2	peak_in_te	1	n.s
Charlie1a	0	5747	3633	4.87	0.2	te_in_peak	1	n.s
MSTA-int	0	2739	3633	5.46	0.2	peak_in_te	1	n.s
MLT2B1	0	3644	3633	3.09	0.2	te_in_peak	1	n.s
MLT1A	1	8344	3633	7.07	0.2	te_in_peak	1	n.s
FLAM_A	2	14934	3633	12.65	0.2	te_in_peak	1	n.s
MSTB1	0	4219	3633	3.57	0.2	te_in_peak	1	n.s
MER2	1	9067	3633	7.68	0.2	te_in_peak	1	n.s
L1MB1	0	6197	3633	5.25	0.2	te_in_peak	1	n.s
L1MB2	1	8944	3633	7.57	0.2	te_in_peak	1	n.s
L1ME2	1	12799	3633	10.84	0.2	te_in_peak	1	n.s
AluSc5	0	4143	3633	3.51	0.2	te_in_peak	1	n.s
L1ME3D	0	4186	3633	3.54	0.2	te_in_peak	1	n.s
L1MD	1	8496	3633	7.19	0.2	te_in_peak	1	n.s
MamRep605	0	3545	3633	3.0	0.2	te_in_peak	1	n.s
L1ME3G	3	18628	3633	15.77	0.2	te_in_peak	1	n.s
L1MC5a	2	17929	3633	15.18	0.2	te_in_peak	1	n.s
AluY	18	98084	3633	83.06	0.2	te_in_peak	1	n.s
L1MC5	2	14431	3633	12.22	0.2	te_in_peak	1	n.s
L1MC3	1	13130	3633	11.12	0.2	te_in_peak	1	n.s
