	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
RLTR9E|MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int|RLTR13E|RLTR9E	1	3	4692	0.03	1.9	peak_in_te	1	n.s
HERVL40-int|HERVL40-int	1	23	4692	0.03	1.9	peak_in_te	1	n.s
ORR1B1-int|ORR1B1-int|ORR1B1|ORR1B1	1	10	4692	0.03	1.9	peak_in_te	1	n.s
ORR1D1|ORR1D1|ORR1D1-int|ORR1D1-int	1	14	4692	0.03	1.9	peak_in_te	1	n.s
L2a	40	24364	4692	20.71	1.9	te_in_peak	0.0374	*
ORR1D1|ORR1D1|ORR1D1|ORR1D1	1	24	4692	0.03	1.9	peak_in_te	1	n.s
MER31A	2	704	4692	0.6	1.9	te_in_peak	1	n.s
BGLII_B|MYSERV16_I-int	1	29	4692	0.06	1.9	peak_in_te	1	n.s
ORR1E|ORR1E|ORR1E	1	112	4692	0.11	1.8	peak_in_te	1	n.s
RLTR9A2	1	169	4692	0.14	1.8	te_in_peak	1	n.s
PB1D10	113	72993	4692	62.04	1.8	te_in_peak	3.34e-06	****
MTEa|MTEa|MTEa	1	131	4692	0.13	1.8	peak_in_te	1	n.s
MIR3	26	16119	4692	13.7	1.8	te_in_peak	0.402	n.s
Eulor8	1	110	4692	0.09	1.8	te_in_peak	1	n.s
RLTR41C	1	152	4692	0.13	1.8	te_in_peak	1	n.s
RMER4B|RMER4B|RMER4B	1	83	4692	0.1	1.8	peak_in_te	1	n.s
L1ME3	3	1494	4692	1.27	1.8	te_in_peak	1	n.s
ERVL-B4-int|ERVL-B4-int|ERVL-B4-int	1	49	4692	0.1	1.8	peak_in_te	1	n.s
MMERVK9C_I-int|MMERVK9C_I-int|MMERVK9C_I-int	1	29	4692	0.11	1.8	peak_in_te	1	n.s
MER54B	1	114	4692	0.1	1.8	te_in_peak	1	n.s
RLTR23|RLTR23	1	124	4692	0.11	1.8	te_in_peak	1	n.s
LTR65	1	164	4692	0.14	1.8	te_in_peak	1	n.s
RLTR26|RLTR26	1	118	4692	0.12	1.8	peak_in_te	1	n.s
MTD|MTD	8	4604	4692	3.91	1.8	te_in_peak	1	n.s
ORR1D1-int	1	149	4692	0.13	1.8	te_in_peak	1	n.s
IAPLTR1a_Mm	1	135	4692	0.11	1.8	te_in_peak	1	n.s
RMER6A|RMER6A	2	555	4692	0.66	1.8	peak_in_te	1	n.s
MMERVK9E_I-int|RLTR9E	1	41	4692	0.09	1.8	peak_in_te	1	n.s
ORR1D1|ORR1D1	5	2757	4692	2.34	1.8	te_in_peak	1	n.s
Kanga1b	1	122	4692	0.1	1.8	te_in_peak	1	n.s
X7B_LINE	1	155	4692	0.13	1.8	te_in_peak	1	n.s
MTE2b|MTE2b	3	1424	4692	1.21	1.8	te_in_peak	1	n.s
RLTR9B2	1	126	4692	0.11	1.8	te_in_peak	1	n.s
B1F	69	45796	4692	38.93	1.8	te_in_peak	0.00371	**
Arthur1C	1	152	4692	0.13	1.8	te_in_peak	1	n.s
Arthur1A	1	150	4692	0.13	1.8	te_in_peak	1	n.s
RMER19B|RMER19B|RMER19B	1	77	4692	0.12	1.8	peak_in_te	1	n.s
LTR68	1	110	4692	0.09	1.8	te_in_peak	1	n.s
ORSL-2b	1	211	4692	0.18	1.7	te_in_peak	1	n.s
MLT1B|MLT1B	2	922	4692	0.78	1.7	te_in_peak	1	n.s
RMER5|RMER5	2	898	4692	0.78	1.7	peak_in_te	1	n.s
RMER6B|RMER6B	1	204	4692	0.17	1.7	te_in_peak	1	n.s
B2_Mm2	131	89548	4692	76.12	1.7	te_in_peak	4.64e-06	****
MLT1-int	1	197	4692	0.17	1.7	te_in_peak	1	n.s
RLTR6-int|RLTR6-int	1	62	4692	0.19	1.7	peak_in_te	1	n.s
ORR1A4|ORR1A4-int|ORR1A4-int|ORR1A4	1	45	4692	0.19	1.7	peak_in_te	1	n.s
ORR1C1-int|ORR1C1	1	117	4692	0.15	1.7	peak_in_te	1	n.s
RLTR17C_Mm	1	206	4692	0.18	1.7	te_in_peak	1	n.s
RLTR17|RLTR17	1	176	4692	0.18	1.7	peak_in_te	1	n.s
L1MEg	7	4287	4692	3.64	1.7	te_in_peak	1	n.s
ORR1B1|ORR1B1-int|ORR1B1-int	1	78	4692	0.17	1.7	peak_in_te	1	n.s
ORR1B1|ORR1B1	2	896	4692	0.76	1.7	te_in_peak	1	n.s
MLT1M	1	247	4692	0.21	1.7	te_in_peak	1	n.s
RLTR20B5_MM	2	845	4692	0.72	1.7	te_in_peak	1	n.s
RLTR47	1	204	4692	0.17	1.7	te_in_peak	1	n.s
MTC|MTC-int|MTC-int|MTC	1	81	4692	0.25	1.6	peak_in_te	1	n.s
RMER4A|RMER4A	1	314	4692	0.27	1.6	te_in_peak	1	n.s
RLTR11A2|RLTR11A2	1	258	4692	0.24	1.6	peak_in_te	1	n.s
ORR1B1|ORR1B1-int|ORR1B1-int|ORR1B1	1	76	4692	0.27	1.6	peak_in_te	1	n.s
B1F1	29	20766	4692	17.65	1.6	te_in_peak	1	n.s
MERV1_I-int	1	316	4692	0.27	1.6	te_in_peak	1	n.s
BGLII_B	2	981	4692	0.83	1.6	te_in_peak	1	n.s
RLTR15|RLTR15	1	267	4692	0.23	1.6	te_in_peak	1	n.s
ORR1A4|ORR1A4	1	345	4692	0.29	1.6	te_in_peak	1	n.s
RLTR10F	1	324	4692	0.28	1.6	te_in_peak	1	n.s
RLTR25A	2	1066	4692	0.91	1.6	te_in_peak	1	n.s
PB1D7	34	24999	4692	21.25	1.6	te_in_peak	1	n.s
LTR48B	1	305	4692	0.26	1.6	te_in_peak	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int	1	97	4692	0.26	1.6	peak_in_te	1	n.s
ERVL-int	1	334	4692	0.28	1.6	te_in_peak	1	n.s
