	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|RLTR15	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|RMER6B	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|RLTR15|MYSERV6-int|RMER6B	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int	0	7	4692	0.03	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20C2_MM|RLTR20C2_MM|RLTR20C2_MM	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20C2_MM|RLTR20C2_MM	0	5	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20C2_MM	0	6	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20B3|RLTR20B3	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20B3	0	9	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20B2|RLTR20B2	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR20B2	0	10	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR11A|RLTR11A	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|MYSERV6-int|RMER6B	0	3	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|RLTR15	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RLTR11A2|RLTR11A2	0	3	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|RLTR15|RLTR15	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuLV-int|MuLV-int|MuLV-int|MuLV-int|MuLV-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuLV-int|MuLV-int|MuLV-int|MuLV-int	0	5	4692	0.02	1.0	peak_in_te	1	n.s
MamRep488	0	29	4692	0.02	1.0	te_in_peak	1	n.s
MamRep1894	0	33	4692	0.03	1.0	te_in_peak	1	n.s
MamGyp-int	0	29	4692	0.02	1.0	te_in_peak	1	n.s
MYSERV6-int|RMER6B|RMER6B|RMER6B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|RMER6B|MYSERV6-int|MYSERV6-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|RMER6B	0	20	4692	0.04	1.0	peak_in_te	1	n.s
MYSERV6-int|RLTR15|RLTR15	0	4	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|RMER6B|RMER6B	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|RMER6B|MYSERV6-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|RLTR15|RLTR15|RLTR15	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|RLTR15|RLTR15	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|RLTR15|MYSERV6-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|RLTR15	0	14	4692	0.04	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|RMER6B|RMER6B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|RMER6B|MYSERV6-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|RMER6B	0	8	4692	0.03	1.0	peak_in_te	1	n.s
MYSERV6-int|MYSERV6-int|MYSERV6-int|RLTR15|RLTR15|RLTR15	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|RLTR11A	0	25	4692	0.04	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM|RLTR20C2_MM	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM	0	5	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20B3|RLTR20B3	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|BGLII	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|BGLII_B|BGLII_B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|BGLII_B	0	10	4692	0.03	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|BGLII	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|BGLII|BGLII	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|BGLII_B|MYSERV16_I-int|BGLII_B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|BGLII_B	0	21	4692	0.05	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|RMER4A|MYSERV-int|MYSERV-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|RMER4A|MYSERV-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|RLTR15	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|MYSERV-int|RLTR15	0	4	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|MYSERV-int|MYSERV-int|MYSERV-int	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|MYSERV-int|MYSERV-int	0	8	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A|MYSERV-int|BGLII_C	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RMER4A	0	37	4692	0.05	1.0	peak_in_te	1	n.s
MYSERV-int|RLTR15|MYSERV-int|RMER4A|MYSERV-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|RLTR15	0	32	4692	0.05	1.0	peak_in_te	1	n.s
MYSERV-int|RLTR11B|RLTR11B|RLTR11B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|BGLII_B	0	6	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int	0	5	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20B2	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20B3	0	5	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20B2|RLTR20B2|RLTR20B2	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20B2|RLTR20B2	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR20B2	0	5	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|RLTR11A	0	6	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20B3	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20B2|RLTR20B2|RLTR20B2	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR11A	0	4	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|BGLII	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM|RLTR20C2_MM|RLTR20C2_MM	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM|RLTR20C2_MM	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20B3|RLTR20B3	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR11A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|RLTR20C2_MM	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int|MYSERV16_I-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuLV-int|MuLV-int|MuLV-int|MuLV-int|MuLV-int|MuLV-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MuLV-int|MuLV-int|RLTR41B	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MuLV-int|MuLV-int|RLTR4_Mm|RLTR4_Mm	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4B|RMER4B|RMER4B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int	0	6	4692	0.02	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4B|RMER4B	0	5	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4B|MurERV4-int|MurERV4-int|RMER4B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4B	0	15	4692	0.02	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4A|RMER4A|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4A|RMER4A	0	6	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4A|MurERV4-int|MurERV4-int|MurERV4-int	0	3	4692	0.02	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4A|MurERV4-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|RMER4A	0	20	4692	0.04	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|RMER4B|RMER4B	0	5	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|RMER4B	0	8	4692	0.02	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|RMER4A|RMER4A|RMER4A|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|RMER4A|RMER4A|RMER4A	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|RMER4A|RMER4A	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|RMER4A	0	10	4692	0.03	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|RMER4B|RMER4B	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|RMER4B	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|RMER4A|RMER4A	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|RMER4A|MurERV4-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int	0	4	4692	0.02	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|RMER19C|RMER19C	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|RMER19B	0	14	4692	0.02	1.0	peak_in_te	1	n.s
ORR1A0|ORR1A0-int|ORR1A0-int	0	6	4692	0.01	1.0	peak_in_te	1	n.s
ORR1A0|ORR1A0	0	27	4692	0.02	1.0	te_in_peak	1	n.s
ORR1A0-int|ORR1A0|ORR1A0	0	1	4692	0.0	1.0	peak_in_te	1	n.s
ORR1A0-int|ORR1A0-int|ORR1A0-int|ORR1A0	0	1	4692	0.0	1.0	peak_in_te	1	n.s
ORR1A0-int|ORR1A0-int|ORR1A0	0	7	4692	0.02	1.0	peak_in_te	1	n.s
ORR1A0-int	0	3	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|RMER19C|RMER19C	0	3	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|RMER19B|RMER19B	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|RMER19C|RMER19C	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|RMER19B	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|RMER19B|RMER19B|RMER19B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|RMER19B|RMER19B	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|RMER19B|MurERV4_19-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|RMER19B	0	11	4692	0.04	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|RMER19C	0	6	4692	0.03	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|RMER19B	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|RMER19C	0	3	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|MurERV4_19-int|RMER19B|RMER19C	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|RMER4A	0	12	4692	0.05	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4B	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MuLV-int|RLTR20B4_MM|MuLV-int|MuLV-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A|RMER4A|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|LTRIS4A|LTRIS4A	0	16	4692	0.05	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|LTRIS4A	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|LTRIS4	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS4-int|MURVY-LTR|MuRRS4-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|LTRIS4|MuRRS4-int|MuRRS4-int|MuRRS4-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS4-int|LTRIS4	0	6	4692	0.02	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|MuRRS-int|MuRRS-int|MuRRS-int|MuRRS-int	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|MuRRS-int|MuRRS-int|LTRIS_Mus|MuRRS-int|LTRIS_Mus	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|MuRRS-int|MuRRS-int|LTRIS_Mus	0	5	4692	0.04	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|MuRRS-int|MuRRS-int	0	6	4692	0.03	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|MuRRS-int|LTRIS_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|MuRRS-int	0	7	4692	0.02	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|LTRIS_Mus|LTRIS_Mus	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS-int|MuRRS-int|LTRIS_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS-int|LTRIS_Mus|MuRRS-int|MuRRS-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS-int|LTRIS_Mus	0	11	4692	0.03	1.0	peak_in_te	1	n.s
MuRRS-int|LTRIS_Mm	0	8	4692	0.03	1.0	peak_in_te	1	n.s
MuLV-int|RLTR4_Mm|RLTR4_Mm	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MuLV-int|RLTR4_Mm	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4A	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MURVY-LTR	0	8	4692	0.05	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A|RMER4A|MurERV4-int|MurERV4-int|RMER4A	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4B	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A|RMER4B	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|RMER4A	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int	0	3	4692	0.02	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int	0	11	4692	0.05	1.0	peak_in_te	1	n.s
MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int|MurERV4-int	0	7	4692	0.04	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4A|MuRRS4-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4A|LTRIS4A	0	1	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4A	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int	0	5	4692	0.02	1.0	peak_in_te	1	n.s
MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|MuRRS4-int|LTRIS4A	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MYSERV-int|RLTR11B	0	16	4692	0.02	1.0	peak_in_te	1	n.s
MYSERV-int|RLTR11A2	0	24	4692	0.05	1.0	peak_in_te	1	n.s
ORR1A0|ORR1A0-int|ORR1A0-int|ORR1A0-int|ORR1A0	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b|MTE2b-int|MTE2b-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b|MTE2b	0	8	4692	0.01	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b-int|MTE2b-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b-int|MTE2b	0	8	4692	0.03	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b-int	0	9	4692	0.02	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int|MTE2b	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b-int	0	18	4692	0.03	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b|MTE2b|MTE2b-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b|MTE2b|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b-int|MTE2b|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b-int|MTE2b-int|MTE2b	0	8	4692	0.03	1.0	peak_in_te	1	n.s
MTE2b|MTE2b-int|MTE2b-int|MTE2b-int	0	6	4692	0.01	1.0	peak_in_te	1	n.s
MTE2b-int|MTE2b|MTE2b|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b-int|MTE2b|MTE2b-int|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b|MTE2b-int	0	3	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b|MTE2b|MTE2b	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MYSERV-int|MYSERV-int|RMER4A|MYSERV-int|RLTR15	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTE2b|MTE2b|MTE2b|MTE2b|MTE2b|MTE2b|MTE2b|MTE2b|MTE2b	0	1	4692	0.0	1.0	te_in_peak	1	n.s
MTEa|MTEa-int|MTEa|MTEa-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa|MTEa	0	11	4692	0.03	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa|MTEa	0	2	4692	0.0	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int|MTEa|MTEa	0	2	4692	0.01	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int|MTEa-int|MTEa-int|MTEa	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int|MTEa-int|MTEa	0	4	4692	0.01	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int|MTEa-int	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int|MTEa	0	12	4692	0.04	1.0	peak_in_te	1	n.s
MTEa|MTEa-int|MTEa-int|MTEa-int	0	18	4692	0.05	1.0	peak_in_te	1	n.s
MTEa-int|MTEa|MTEa|MTEa	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MTEa-int|MTEa|MTEa	0	35	4692	0.05	1.0	peak_in_te	1	n.s
MTEa-int|MTEa-int|MTEa|MTEa	0	8	4692	0.02	1.0	peak_in_te	1	n.s
MTEa-int|MTEa-int|MTEa-int|MTEa|MTEa	0	3	4692	0.01	1.0	peak_in_te	1	n.s
MTEa-int|MTEa-int|MTEa-int|MTEa-int|MTEa	0	1	4692	0.0	1.0	peak_in_te	1	n.s
MTEa-int|MTEa-int|MTEa-int|MTEa-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
