,file,dominant_freq
0,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.0150753768844223
1,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.0150753768844223
2,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
3,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
4,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
5,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
6,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
7,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.0150753768844223
8,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
9,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
10,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
11,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
12,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
13,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
14,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
15,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
16,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
17,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
18,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.0150753768844223
19,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
20,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
21,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
22,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
23,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.0150753768844223
24,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.0150753768844223
25,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
26,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
27,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
28,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
29,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
30,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
31,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
32,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
33,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
34,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
35,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
36,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
37,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,1.7587939698492463
38,20240628_vCM_beating_10x_DIC.lif - or1-r4-fov1_scale-0.2_serie-6,3.559463986599665
