name,ID,ZNF436_vs_dK_p.val,ZNF436_vs_dK_p.adj,ZNF436_vs_dK_significant,ZNF436_vs_dK_ratio,dK_centered,GFP_centered,wt_centered,ZNF436_centered,role
APAF1,O14727-3,0.045740569,0.649,FALSE,0.219,-0.145,-0.0123,0.15,0.0741,
CNN3,Q15417-3,0.045850065,0.649,FALSE,0.267,-0.0717,-0.0392,-0.221,0.196,
DPYSL4,O14531,0.045886977,0.649,FALSE,-0.287,0.236,-0.149,-0.271,-0.0509,
ARPC1B,O15143,0.046127261,0.65,FALSE,-0.867,0.578,-0.493,-0.25,-0.289,
PUS7,Q96PZ0-2,0.046831375,0.653,FALSE,0.226,-0.138,0.125,0.0157,0.0883,
RHBDD2,Q6NTF9,0.04677881,0.653,FALSE,-0.227,0.0508,-0.0945,0.315,-0.177,
RPS3,P23396,0.046916167,0.653,FALSE,-0.149,0.0319,0.0545,0.135,-0.117,
RPL30,P62888,0.04706584,0.654,FALSE,-0.174,0.118,-0.136,-0.0335,-0.0559,
COL1A2,P08123,0.047448383,0.656,FALSE,-0.975,0.404,0.152,0.234,-0.571,
CRNKL1,Q5JY65,0.047597078,0.656,FALSE,0.407,-0.155,-0.193,-0.0671,0.252,
HK2,P52789,0.047674732,0.656,FALSE,0.214,-0.0855,0.12,-0.166,0.128,
MRE11A,P49959,0.047575051,0.656,FALSE,0.753,-0.214,0.51,-0.988,0.538,
PSMA5,P28066,0.04757723,0.656,FALSE,0.227,-0.134,-0.209,0.223,0.093,
FASN,P49327,0.047747126,0.657,FALSE,-0.169,0.0737,0.0272,0.0251,-0.0953,
HRC,M0QZ43,0.047827351,0.657,FALSE,-0.381,0.198,-0.56,0.345,-0.183,
TSPO,B1AH87,0.047927512,0.657,FALSE,0.422,-0.158,-0.049,-0.18,0.264,
BCLAF1,Q9NYF8-2,0.048070489,0.658,FALSE,0.413,0.729,-0.739,-3.25,1.14,
C1QBP,Q07021,0.048576144,0.66,FALSE,-0.362,0.181,0.211,-0.14,-0.181,
DRG1,Q9Y295,0.048992073,0.661,FALSE,0.236,-0.0664,-0.0798,-0.154,0.17,
FUBP1,Q96AE4,0.049095404,0.662,FALSE,0.311,0.259,-0.274,-1.47,0.57,
MT-CO2,P00403,0.049025885,0.662,FALSE,0.205,-0.046,-0.106,-0.154,0.159,
ARPC3,O15145,0.049380588,0.663,FALSE,-0.96,0.574,-0.198,-0.243,-0.386,
PDS5B,Q9NTI5-2,0.049297111,0.663,FALSE,0.14,-0.0768,0.176,-0.0893,0.0628,
TMEM126A,Q9H061,0.050005167,0.665,FALSE,0.249,-0.152,-0.00514,0.114,0.0971,
LAMB1,G3XAI2,0.050308548,0.666,FALSE,-0.601,0.0427,0.634,0.608,-0.558,
MDH1,P40925,0.05015582,0.666,FALSE,1.42,-0.499,0.0303,-0.869,0.923,
CSNK2A1,P68400,0.050383626,0.667,FALSE,0.223,-0.102,0.14,-0.133,0.122,
SF3A2,Q15428,0.050604841,0.667,FALSE,0.209,0.0361,-0.202,-0.429,0.245,
SMARCA1,B7ZLQ5,0.051279878,0.67,FALSE,0.194,0.0222,-0.124,-0.394,0.216,
ADD3,Q9UEY8-2,0.051843415,0.672,FALSE,-0.203,0.0886,0.183,-0.0699,-0.115,
LMNB2,Q03252,0.052565256,0.674,FALSE,0.555,-0.182,-0.414,-0.104,0.372,
MCMBP,Q9BTE3,0.052829644,0.675,FALSE,-0.261,0.172,-0.029,-0.145,-0.0896,
MECP2,P51608-2,0.052983277,0.676,FALSE,0.498,-0.439,0.074,0.713,0.0582,
RPS16,P62249,0.053119483,0.676,FALSE,-0.183,0.00694,0.307,0.133,-0.176,
NCOR2,C9JE98,0.054100593,0.679,FALSE,0.549,-0.0596,0.0208,-0.873,0.489,
PSMA3,P25788-2,0.054501951,0.681,FALSE,0.277,-0.253,-0.0861,0.517,0.0235,
STK26,Q9P289,0.05493696,0.682,FALSE,0.257,-0.189,0.365,-0.00396,0.0689,
LBR,Q14739,0.055607749,0.684,FALSE,0.237,-0.0564,0.0697,-0.295,0.181,
PPAPDC2,Q8IY26,0.055519188,0.684,FALSE,-0.286,0.0716,-0.067,0.33,-0.214,
LAS1L,Q9Y4W2-2,0.056501531,0.687,FALSE,0.307,0.0159,0.0762,-0.728,0.323,
PDIA3,P30101,0.056603951,0.687,FALSE,0.409,-0.339,-0.202,0.671,0.0704,
PGK1,P00558,0.056652639,0.687,FALSE,0.671,-0.428,0.0697,0.321,0.244,
C3orf58,Q8NDZ4,0.056867196,0.688,FALSE,-0.545,0.0506,0.264,0.712,-0.494,
GARS,P41250-2,0.056951618,0.688,FALSE,-0.247,0.0344,0.0239,0.341,-0.213,
KRT16,CON__P08779,0.057256229,0.689,FALSE,-1.39,1.01,-1.15,-0.476,-0.383,
GSPT1,P15170-2,0.057375616,0.69,FALSE,0.191,-0.12,0.116,0.0206,0.0709,
RPL17,A0A087WXM6,0.05737503,0.69,FALSE,-0.175,0.0536,0.155,0.0318,-0.121,
RPL5,P46777,0.057452035,0.69,FALSE,-0.148,0.0427,0.014,0.116,-0.105,
EARS2,H3BTB7,0.057766389,0.691,FALSE,-0.2,0.095,-0.0344,0.0437,-0.105,
KIAA0020,Q15397,0.057932054,0.691,FALSE,0.258,-0.275,-0.0412,0.613,-0.0174,
PGAM1,P18669,0.057735209,0.691,FALSE,0.621,-0.48,-0.106,0.749,0.141,
USP5,P45974,0.057873523,0.691,FALSE,0.312,-0.197,0.396,-0.0983,0.114,
